symbol	file	line	text
display_confirm_previous_mode	working/b4a/ps2vnc_runtime_core.inc	970	const ps2vnc_video_mode_t *display_confirm_previous_mode = NULL;
display_confirm_previous_mode	working/b4a/ps2vnc_runtime_tail.inc	209	display_confirm_previous_mode = previous_mode;
display_confirm_previous_mode	working/b4a/ps2vnc_runtime_tail.inc	247	display_confirm_previous_mode = NULL;
display_confirm_previous_screen_fit_full_bypass	working/b4a/ps2vnc_runtime_core.inc	991	int display_confirm_previous_screen_fit_full_bypass = 0;
display_confirm_previous_screen_fit_full_bypass	working/b4a/ps2vnc_runtime_tail.inc	226	display_confirm_previous_screen_fit_full_bypass =
display_confirm_previous_screen_fit_full_bypass	working/b4a/ps2vnc_runtime_tail.inc	260	display_confirm_previous_screen_fit_full_bypass = 0;
display_confirm_previous_screen_fit_height	working/b4a/ps2vnc_runtime_core.inc	988	int display_confirm_previous_screen_fit_height = 0;
display_confirm_previous_screen_fit_height	working/b4a/ps2vnc_runtime_tail.inc	220	display_confirm_previous_screen_fit_height =
display_confirm_previous_screen_fit_height	working/b4a/ps2vnc_runtime_tail.inc	257	display_confirm_previous_screen_fit_height = 0;
display_confirm_previous_screen_fit_offset_x	working/b4a/ps2vnc_runtime_core.inc	989	int display_confirm_previous_screen_fit_offset_x = 0;
display_confirm_previous_screen_fit_offset_x	working/b4a/ps2vnc_runtime_tail.inc	222	display_confirm_previous_screen_fit_offset_x =
display_confirm_previous_screen_fit_offset_x	working/b4a/ps2vnc_runtime_tail.inc	258	display_confirm_previous_screen_fit_offset_x = 0;
display_confirm_previous_screen_fit_offset_y	working/b4a/ps2vnc_runtime_core.inc	990	int display_confirm_previous_screen_fit_offset_y = 0;
display_confirm_previous_screen_fit_offset_y	working/b4a/ps2vnc_runtime_tail.inc	224	display_confirm_previous_screen_fit_offset_y =
display_confirm_previous_screen_fit_offset_y	working/b4a/ps2vnc_runtime_tail.inc	259	display_confirm_previous_screen_fit_offset_y = 0;
display_confirm_previous_screen_fit_width	working/b4a/ps2vnc_runtime_core.inc	987	int display_confirm_previous_screen_fit_width = 0;
display_confirm_previous_screen_fit_width	working/b4a/ps2vnc_runtime_tail.inc	218	display_confirm_previous_screen_fit_width =
display_confirm_previous_screen_fit_width	working/b4a/ps2vnc_runtime_tail.inc	256	display_confirm_previous_screen_fit_width = 0;
display_confirm_previous_w	working/b4a/ps2vnc_runtime_core.inc	973	unsigned int display_confirm_previous_w = 0;
display_confirm_previous_w	working/b4a/ps2vnc_runtime_tail.inc	213	display_confirm_previous_w = previous_w;
display_confirm_previous_w	working/b4a/ps2vnc_runtime_tail.inc	251	display_confirm_previous_w = 0;
display_confirm_previous_x	working/b4a/ps2vnc_runtime_core.inc	971	unsigned int display_confirm_previous_x = 0;
display_confirm_previous_x	working/b4a/ps2vnc_runtime_tail.inc	211	display_confirm_previous_x = previous_x;
display_confirm_previous_x	working/b4a/ps2vnc_runtime_tail.inc	249	display_confirm_previous_x = 0;
display_confirm_previous_y	working/b4a/ps2vnc_runtime_core.inc	972	unsigned int display_confirm_previous_y = 0;
display_confirm_previous_y	working/b4a/ps2vnc_runtime_tail.inc	212	display_confirm_previous_y = previous_y;
display_confirm_previous_y	working/b4a/ps2vnc_runtime_tail.inc	250	display_confirm_previous_y = 0;
display_confirm_seconds	working/b4a/ps2vnc_display_tail.inc	861	display_confirm_seconds = 0;
display_confirm_seconds	working/b4a/ps2vnc_display_tail.inc	881	display_confirm_seconds =
display_confirm_seconds	working/b4a/ps2vnc_display_tail.inc	884	if (display_confirm_seconds == 0 ||
display_confirm_seconds	working/b4a/ps2vnc_runtime_core.inc	958	volatile unsigned int display_confirm_seconds = 0;
display_confirm_seconds	working/b4a/ps2vnc_runtime_tail.inc	230	display_confirm_seconds = DISPLAY_CONFIRM_TIMEOUT_SECONDS;
display_confirm_seconds	working/b4a/ps2vnc_runtime_tail.inc	245	display_confirm_seconds = 0;
display_confirm_seconds	working/b4a/ps2vnc_ui_tail.inc	508	display_confirm_seconds = remaining;
display_confirm_selection	working/b4a/ps2vnc_display_tail.inc	444	display_confirm_selection =
display_confirm_selection	working/b4a/ps2vnc_display_tail.inc	913	display_confirm_selection =
display_confirm_selection	working/b4a/ps2vnc_runtime_core.inc	957	volatile int display_confirm_selection = DISPLAY_CONFIRM_GO_BACK;
display_confirm_selection	working/b4a/ps2vnc_runtime_tail.inc	229	display_confirm_selection = DISPLAY_CONFIRM_GO_BACK;
display_confirm_selection	working/b4a/ps2vnc_ui_core.inc	30	display_confirm_selection == DISPLAY_CONFIRM_GO_BACK ?
