caller	caller_module	callee	callee_module	cross_module
initial_rfb_connect_with_retry	rfb_transport	ethGetNetIFLinkStatus	other	1
initial_rfb_connect_with_retry	rfb_transport	initial_rfb_connect_with_retry	rfb_transport	0
initial_rfb_connect_with_retry	rfb_transport	probe_extended_desktop_size	other	1
initial_rfb_connect_with_retry	rfb_transport	receive_framebuffer_update	rfb_decode	1
initial_rfb_connect_with_retry	rfb_transport	request_framebuffer	rfb_transport	0
initial_rfb_connect_with_retry	rfb_transport	reset_rfb_transport_state	other	1
initial_rfb_connect_with_retry	rfb_transport	rfb_connect_and_handshake	rfb_transport	0
initial_rfb_connect_with_retry	rfb_transport	screenf	other	1
initial_rfb_connect_with_retry	rfb_transport	set_gs555_pixel_format	other	1
initial_rfb_connect_with_retry	rfb_transport	set_raw_encoding	rfb_decode	1
main	core	debug_emit_now	diag	1
main	core	debug_udp_init	diag	1
main	core	display_live_desktop	orchestration	1
main	core	ethWaitValidNetIFLinkState	other	1
main	core	main	core	0
main	core	ps2vnc_config_load_from_pi	config	1
main	core	ps2vnc_display_transaction_startup_preflight	other	1
main	core	ps2vnc_startup_apply_authoritative_profile	other	1
main	core	ps2vnc_startup_connect_reconciled	other	1
main	core	ps2vnc_startup_prepare_display_transaction	other	1
main	core	screenf	other	1
main	core	startup_force_calibration_requested	display_calibration	1
main	core	wait_pad_ready_after_mode_change	other	1
osk_activate_selected	ui	osk_activate_selected	ui	0
osk_activate_selected	ui	osk_display_char	ui	0
osk_activate_selected	ui	osk_send_extended_key_with_modifiers	ui	0
osk_activate_selected	ui	osk_send_key_with_modifiers	ui	0
osk_clear_one_shot_modifiers	ui	osk_clear_one_shot_modifiers	ui	0
osk_color	ui	osk_color	ui	0
osk_display_char	ui	osk_display_char	ui	0
osk_display_char	ui	osk_shifted_ascii	ui	0
osk_draw_char	ui	osk_draw_char	ui	0
osk_draw_char	ui	osk_fill_rect	ui	0
osk_draw_char	ui	osk_find_glyph	ui	0
osk_draw_text_centered	ui	osk_draw_char	ui	0
osk_draw_text_centered	ui	osk_draw_text_centered	ui	0
osk_fill_rect	ui	osk_fill_rect	ui	0
osk_find_glyph	ui	osk_find_glyph	ui	0
osk_move_horizontal	ui	osk_move_horizontal	ui	0
osk_move_horizontal	ui	osk_row_length	ui	0
osk_move_vertical	ui	osk_move_vertical	ui	0
osk_move_vertical	ui	osk_row_length	ui	0
osk_render_bitmap	ui	osk_color	ui	0
osk_render_bitmap	ui	osk_display_char	ui	0
osk_render_bitmap	ui	osk_draw_text_centered	ui	0
osk_render_bitmap	ui	osk_fill_rect	ui	0
osk_render_bitmap	ui	osk_render_bitmap	ui	0
osk_render_bitmap	ui	osk_row_length	ui	0
osk_row_length	ui	osk_row_length	ui	0
osk_send_extended_key_with_modifiers	ui	osk_clear_one_shot_modifiers	ui	0
osk_send_extended_key_with_modifiers	ui	osk_send_extended_key_with_modifiers	ui	0
osk_send_extended_key_with_modifiers	ui	send_key_event	input	1
osk_send_extended_key_with_modifiers	ui	send_modified_key_tap	input	1
