file	line	function	classification	mutable_state_refs	calibration_refs	platform_refs	rfb_refs	ui_refs
working/b4a/ps2vnc_runtime_core.inc	90	ps2vnc_hires_requires_vertical_mapping	STATEFUL_GEOMETRY	active_video_mode	NO	NO	NO	NO
working/b4a/ps2vnc_runtime_core.inc	134	ps2vnc_hires_storage_height	STATEFUL_GEOMETRY	active_video_mode	NO	NO	NO	NO
working/b4a/ps2vnc_runtime_core.inc	166	ps2vnc_display_logical_desktop_size	STATEFUL_GEOMETRY	active_video_mode,active_display_backend	NO	NO	NO	NO
working/b4a/ps2vnc_runtime_tail.inc	197	display_confirm_arm_transaction	STATEFUL_GEOMETRY	active_display_backend,desktop_width,desktop_height	NO	NO	NO	NO
working/b4a/ps2vnc_runtime_tail.inc	483	rfb_connect_and_handshake_limited	STATEFUL_GEOMETRY	desktop_width,desktop_height,desktop_geometry_locked	YES	NO	YES	NO
working/b4a/ps2vnc_ui_core.inc	406	display_menu_render_bitmap	STATEFUL_GEOMETRY	active_video_mode	YES	YES	NO	YES
working/b4a/ps2vnc_ui_core.inc	1174	wake_renderer_with_pointer_jiggle	STATEFUL_GEOMETRY	desktop_width	NO	NO	NO	NO
working/b4a/ps2vnc_ui_tail.inc	1	controller_thread	STATEFUL_GEOMETRY	active_video_mode,desktop_width,desktop_height	YES	NO	YES	YES
working/b4a/ps2vnc_runtime_tail.inc	107	ps2vnc_system_overlay_allowed	UI_COUPLED	-	YES	NO	NO	YES
working/b4a/ps2vnc_runtime_tail.inc	404	startup_force_calibration_requested	UI_COUPLED	-	NO	NO	NO	YES
