file	start_line	end_line	function	geometry_score	signals	local_calls
working/b4a/ps2vnc_framebuffer_core.inc	1158	1187	sync_copy_hires_region	0	FRAMEBUFFER_RFB	hires_bg_storage_row,region_fits_u32
working/b4a/ps2vnc_framebuffer_core.inc	1194	1236	sync_copy_hires_dirty_rows	0	FRAMEBUFFER_RFB	hires_bg_storage_row
working/b4a/ps2vnc_framebuffer_tail.inc	1	67	ps2vnc_publish_mapped_hires_hidden_frame	0	GS_TRANSPORT	gsKit_hires_set_bg,ps2vnc_hires_requires_raster_mapping,publish_hires_background
working/b4a/ps2vnc_framebuffer_tail.inc	91	429	ps2vnc_update_mapped_hires_dirty_buffer	1	MAPPING,FRAMEBUFFER_RFB,GS_TRANSPORT	ps2vnc_hires_mapped_storage_row,ps2vnc_hires_requires_raster_mapping,ps2vnc_hires_storage_height,ps2vnc_hires_storage_width,region_fits_u32
working/b4a/ps2vnc_framebuffer_tail.inc	451	527	ps2vnc_publish_mapped_hires_dirty_frame	0	GS_TRANSPORT	gsKit_hires_set_bg,ps2vnc_hires_requires_raster_mapping,ps2vnc_update_mapped_hires_dirty_buffer
working/b4a/ps2vnc_framebuffer_tail.inc	531	624	ps2vnc_display_commit_update_hires	0	FRAMEBUFFER_RFB,GS_TRANSPORT	gsKit_hires_set_bg,ps2vnc_hires_requires_raster_mapping,ps2vnc_publish_mapped_hires_dirty_frame,sync_copy_hires_dirty_rows
working/b4a/ps2vnc_framebuffer_tail.inc	633	675	ps2vnc_display_commit_update_standard	1	DIMENSIONS,FRAMEBUFFER_RFB,GS_TRANSPORT	
working/b4a/ps2vnc_framebuffer_tail.inc	677	697	ps2vnc_display_commit_update	0	DISPLAY_MODE,GS_TRANSPORT	ps2vnc_display_commit_update_hires,ps2vnc_display_commit_update_standard
working/b4a/ps2vnc_framebuffer_tail.inc	705	897	publish_hires_background	1	MAPPING,FRAMEBUFFER_RFB,GS_TRANSPORT	gsKit_hires_set_bg,hires_bg_storage_row,ps2vnc_display_wait_presentation_memory_idle,ps2vnc_hires_mapped_storage_row,ps2vnc_hires_requires_raster_mapping,ps2vnc_hires_storage_height,ps2vnc_hires_storage_width,region_fits_u32
working/b4a/ps2vnc_framebuffer_tail.inc	908	1008	ps2vnc_display_publish_full_desktop_hires	0	GS_TRANSPORT	ps2vnc_hires_requires_raster_mapping,ps2vnc_hires_storage_bytes,ps2vnc_publish_mapped_hires_hidden_frame,publish_hires_background
working/b4a/ps2vnc_framebuffer_tail.inc	1010	1034	ps2vnc_display_publish_full_desktop_standard	1	DIMENSIONS,FRAMEBUFFER_RFB,GS_TRANSPORT	
working/b4a/ps2vnc_framebuffer_tail.inc	1036	1050	ps2vnc_display_publish_full_desktop	0	DISPLAY_MODE,GS_TRANSPORT	ps2vnc_display_publish_full_desktop_hires,ps2vnc_display_publish_full_desktop_standard
working/b4a/ps2vnc_framebuffer_tail.inc	1052	1230	update_hires_background_region	0	FRAMEBUFFER_RFB,GS_TRANSPORT	hires_bg_is_field_separated,hires_bg_storage_row,ps2vnc_display_wait_presentation_memory_idle,region_fits_u32
working/b4a/ps2vnc_gsHires.c	170	173	ps2vnc_hires_pitch_pixels	1	DIMENSIONS,GS_TRANSPORT	
working/b4a/ps2vnc_gsHires.c	180	210	gsKit_setpass	2	DIMENSIONS,OFFSETS_CENTERING,GS_TRANSPORT	ps2vnc_hires_pitch_pixels
working/b4a/ps2vnc_gsHires.c	212	229	gsKit_setpass_background	1	DIMENSIONS,GS_TRANSPORT	ps2vnc_hires_pitch_pixels
working/b4a/ps2vnc_gsHires.c	231	254	gsKit_create_pass	0	GS_TRANSPORT	gsKit_setpass,gsKit_setpass_background
working/b4a/ps2vnc_gsHires.c	256	274	_gsKit_create_passes	1	DIMENSIONS,GS_TRANSPORT	gsKit_create_pass
working/b4a/ps2vnc_gsHires.c	280	288	gsKit_hires_sync	0	GS_TRANSPORT	
